'ID1	ID2	Area32	Area28	ratio28/32	d17Oraw	d18Oraw	D17Oraw	d15Nraw
J	20	1.385	8.64	6.238267148	-7.377	-11.821	-1.23008	-10.546
J	30	4.746	12.763	2.689211968	-1.861	-1.099	-1.28952	-9.659
J	40	5.291	14.841	2.804951805	-1.536	-0.504	-1.27392	-9.991
J	60	8.263	22.821	2.761829844	-1.528	-1.823	-0.58004	-9.739
J	80	9.775	25.596	2.618516624	-1.49	-1.077	-0.92996	-9.735
K	60	6.156	17.673	2.8708577	-3.285	-5.667	-0.33816	-20.826
K	80	7.469	19.768	2.646672915	-0.456	1.728	-1.35456	-21.089
L	50	8.402	19.687	2.343132587	-0.871	1.27	-1.5314	10.728
L	60	6.262	19.96	3.187480038	-3.509	-4.291	-1.27768	10.754
L	80	7.321	20.548	2.806720393	-3.793	-4.639	-1.38072	9.855
L	100	12.791	32.479	2.539207255	1.06	4.335	-1.1942	14.613
